DSUP_NAME,Functional Class,Total,MD,HV
Box Elder County,Freeway,951412.1112999981,116520.34879999977,136651.08739999973
Box Elder County,Principal Arterial,468572.2795000002,43339.48460000001,44009.129199999996
Box Elder County,Minor Arterial,81104.8449,5436.4710000000005,5373.779
Box Elder County,Collector,35568.7833,210.12300000000005,968.2695000000001
Box Elder County,Local,5263.178,0.0,0.0
Box Elder County,All Classes,1541921.1969999983,165506.42739999978,187002.26509999973
Davis County,Freeway,4182251.0092000095,302491.3659000008,283872.9850000008
Davis County,Expressway,486815.24549999996,44738.9946,43932.1404
Davis County,Principal Arterial,1359698.916699995,111271.42019999957,52982.93819999988
Davis County,Minor Arterial,827752.9022,33548.6133,24305.9703
Davis County,Collector,762161.4688,3234.8201,2590.7493
Davis County,Local,29561.067000000003,83.98860000000018,44.38880000000009
Davis County,All Classes,7648240.609400004,495369.2027000004,407729.17200000066
Salt Lake County,Freeway,11342593.074899994,842482.3086999994,520266.2634999997
Salt Lake County,Expressway,806890.9235999996,90924.22099999996,38024.07949999998
Salt Lake County,Principal Arterial,7458543.5743999975,804546.7248,307564.24039999995
Salt Lake County,Minor Arterial,3374728.6138999998,30268.486599999997,6587.405099999999
Salt Lake County,Collector,2657433.6133,3564.2127,2578.0256
Salt Lake County,Local,36389.4447,375.4363000000001,99.15150000000001
Salt Lake County,All Classes,25676579.24479999,1772161.3900999993,875119.1655999997
Utah County,Freeway,6002607.20080001,518571.01720000064,435113.09990000055
Utah County,Principal Arterial,3608078.9900000026,375021.90310000035,214136.00890000022
Utah County,Minor Arterial,1363857.4069,64923.17760000001,41738.6857
Utah County,Collector,1120321.6058,15641.940900000001,10508.114
Utah County,Local,38983.5485,200.63699999999997,128.804
Utah County,All Classes,12133848.752000012,974358.675800001,701624.7125000008
Weber County,Freeway,1497565.2355999982,142454.97489999977,170847.05419999972
Weber County,Principal Arterial,1442881.0182000017,148759.22660000014,76723.75920000003
Weber County,Minor Arterial,618181.0357,48092.7465,48191.8045
Weber County,Collector,608745.8674,1479.2154,534.4146
Weber County,Local,11733.6741,720.7721,556.7926
Weber County,All Classes,4179106.831,341506.9354999999,296853.8250999997
